"Ergebnisart";"Datum";"Uhrzeit";"Soll.Wahlbezirke";"Ist.Wahlbezirke";"Satzart";"Schlüsselnummer";"Name";"Wahllokal";"A.Wahlberechtigte";"B.Wähler";"E.Ungültige.Zweitstimmen";"F.Gültige.Zweitstimmen";"F01.CDU";"F02.AfD";"F03.Die Linke";"F04.SPD";"F05.FDP";"F06.GRÜNE";"F07.FREIE WÄHLER";"F08.dieBasis";"F09.Tierschutzpartei";"F10.Gartenpartei";"F11.Die PARTEI";"F12.TIERSCHUTZALLIANZ";"F15.BSW";"F19.PdF";"F20.Volt";"C.Ungültige.Erststimmen";"D.Gültige.Erststimmen";"D01.CDU";"D02.AfD";"D03.Die Linke";"D04.SPD";"D05.FDP";"D06.GRÜNE";"D07.FREIE WÄHLER";"D09.Tierschutzpartei";"D10.Gartenpartei";"D11.Die PARTEI";"D12.TIERSCHUTZALLIANZ";"D13.HEIMAT";"D15.BSW";"D19.PdF";"D20.Volt";"D21.EB"
"Z";"06.09.2026";"19:03:27";4;3;"GEM";"15081026";"Apenburg-Winterfeld, Flecken";"";1315;947;14;933;145;454;71;97;24;53;5;1;7;5;3;3;62;2;1;13;934;234;460;84;59;18;23;;;;9;;;47;;;
"V";"06.09.2026";"19:36:04";16;16;"GEM";"15081030";"Arendsee (Altmark), Stadt";"U";5337;3268;39;3229;543;1573;296;238;122;177;31;12;23;10;12;11;163;5;13;45;3223;715;1556;350;249;86;71;;;;30;;;166;;;
"L";;;1;0;"GEM";"15081030";"Arendsee (Altmark), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"Z";"06.09.2026";"19:36:04";17;16;"GEM";"15081030";"Arendsee (Altmark), Stadt";"";5337;3268;39;3229;543;1573;296;238;122;177;31;12;23;10;12;11;163;5;13;45;3223;715;1556;350;249;86;71;;;;30;;;166;;;
"Z";"06.09.2026";"19:02:23";6;5;"GEM";"15081045";"Beetzendorf";"U";1079;687;3;684;104;299;74;46;17;91;5;2;5;3;3;2;32;1;0;3;684;178;293;109;32;8;29;;;;5;;;30;;;
"L";;;1;0;"GEM";"15081045";"Beetzendorf";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"Z";"06.09.2026";"19:02:23";7;5;"GEM";"15081045";"Beetzendorf";"";1079;687;3;684;104;299;74;46;17;91;5;2;5;3;3;2;32;1;0;3;684;178;293;109;32;8;29;;;;5;;;30;;;
"V";"06.09.2026";"19:26:32";2;2;"GEM";"15081095";"Dähre";"U";1125;717;7;710;124;333;62;60;29;63;4;1;2;0;2;0;30;0;0;5;712;185;334;71;45;30;17;;;;4;;;26;;;
"L";;;1;0;"GEM";"15081095";"Dähre";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"Z";"06.09.2026";"19:26:32";3;2;"GEM";"15081095";"Dähre";"";1125;717;7;710;124;333;62;60;29;63;4;1;2;0;2;0;30;0;0;5;712;185;334;71;45;30;17;;;;4;;;26;;;
"L";;;1;0;"GEM";"15081105";"Diesdorf, Flecken";"U";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"L";;;1;0;"GEM";"15081105";"Diesdorf, Flecken";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"L";;;2;0;"GEM";"15081105";"Diesdorf, Flecken";"";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"Z";"06.09.2026";"19:46:03";37;34;"GEM";"15081135";"Gardelegen, Hansestadt";"U";14868;9452;110;9342;1434;4446;781;917;268;590;81;13;114;54;37;61;498;16;32;111;9341;2190;4375;870;706;337;187;;;;145;;;531;;;
"L";;;3;0;"GEM";"15081135";"Gardelegen, Hansestadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"Z";"06.09.2026";"19:46:03";40;34;"GEM";"15081135";"Gardelegen, Hansestadt";"";14868;9452;110;9342;1434;4446;781;917;268;590;81;13;114;54;37;61;498;16;32;111;9341;2190;4375;870;706;337;187;;;;145;;;531;;;
"V";"06.09.2026";"18:59:32";5;5;"GEM";"15081225";"Jübar";"U";1230;853;7;846;134;469;57;60;10;47;11;1;11;5;1;5;33;2;0;6;847;238;432;54;53;17;13;;;;10;;;30;;;
"L";;;1;0;"GEM";"15081225";"Jübar";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"Z";"06.09.2026";"18:59:32";6;5;"GEM";"15081225";"Jübar";"";1230;853;7;846;134;469;57;60;10;47;11;1;11;5;1;5;33;2;0;6;847;238;432;54;53;17;13;;;;10;;;30;;;
"Z";"06.09.2026";"19:23:21";17;14;"GEM";"15081240";"Kalbe (Milde), Stadt";"U";4102;2581;25;2556;417;1242;228;214;70;157;22;3;22;6;12;7;145;2;9;27;2554;567;1262;279;154;76;57;;;;29;;;130;;;
"L";;;1;0;"GEM";"15081240";"Kalbe (Milde), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"Z";"06.09.2026";"19:23:21";18;14;"GEM";"15081240";"Kalbe (Milde), Stadt";"";4102;2581;25;2556;417;1242;228;214;70;157;22;3;22;6;12;7;145;2;9;27;2554;567;1262;279;154;76;57;;;;29;;;130;;;
"Z";"06.09.2026";"19:38:26";17;15;"GEM";"15081280";"Klötze, Stadt";"U";6024;3670;45;3625;577;1671;316;411;94;243;45;6;22;17;19;20;168;6;10;42;3628;811;1652;507;274;97;86;;;;42;;;159;;;
"L";;;2;0;"GEM";"15081280";"Klötze, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"Z";"06.09.2026";"19:38:26";19;15;"GEM";"15081280";"Klötze, Stadt";"";6024;3670;45;3625;577;1671;316;411;94;243;45;6;22;17;19;20;168;6;10;42;3628;811;1652;507;274;97;86;;;;42;;;159;;;
"V";"06.09.2026";"19:34:01";3;3;"GEM";"15081290";"Kuhfelde";"U";857;608;8;600;105;312;40;36;15;42;11;0;1;2;4;3;27;2;0;9;599;131;310;46;36;20;18;;;;9;;;29;;;
"V";"06.09.2026";"19:33:27";1;1;"GEM";"15081290";"Kuhfelde";"B";0;100;0;100;24;20;11;10;2;15;0;0;0;1;1;3;12;0;1;0;100;31;24;15;10;3;4;;;;3;;;10;;;
"V";"06.09.2026";"19:34:01";4;4;"GEM";"15081290";"Kuhfelde";"";857;708;8;700;129;332;51;46;17;57;11;0;1;3;5;6;39;2;1;9;699;162;334;61;46;23;22;;;;12;;;39;;;
"V";"06.09.2026";"18:53:57";3;3;"GEM";"15081440";"Rohrberg";"U";820;592;5;587;92;314;34;41;7;45;5;1;10;3;2;3;30;0;0;3;589;130;316;42;43;13;10;;;;12;;;23;;;
"L";;;1;0;"GEM";"15081440";"Rohrberg";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"Z";"06.09.2026";"18:53:57";4;3;"GEM";"15081440";"Rohrberg";"";820;592;5;587;92;314;34;41;7;45;5;1;10;3;2;3;30;0;0;3;589;130;316;42;43;13;10;;;;12;;;23;;;
"Z";"06.09.2026";"19:46:47";21;16;"GEM";"15081455";"Salzwedel, Hansestadt";"U";10601;6336;79;6257;955;2851;677;595;147;453;59;15;57;23;18;32;349;12;14;90;6246;1452;2850;841;418;152;163;;;;66;;;304;;;
"Z";"06.09.2026";"19:40:37";4;1;"GEM";"15081455";"Salzwedel, Hansestadt";"B";0;953;3;950;230;215;137;135;32;108;9;0;6;4;2;2;64;2;4;3;950;330;200;194;89;37;26;;;;6;;;68;;;
"Z";"06.09.2026";"19:46:47";25;17;"GEM";"15081455";"Salzwedel, Hansestadt";"";10601;7289;82;7207;1185;3066;814;730;179;561;68;15;63;27;20;34;413;14;18;93;7196;1782;3050;1035;507;189;189;;;;72;;;372;;;
"V";"06.09.2026";"19:00:15";2;2;"GEM";"15081545";"Wallstawe";"U";685;446;8;438;69;233;32;35;10;34;5;0;2;0;0;0;13;1;4;8;438;103;227;44;26;15;7;;;;2;;;14;;;
"L";;;1;0;"GEM";"15081545";"Wallstawe";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;0;;;0;;;
"Z";"06.09.2026";"19:00:15";3;2;"GEM";"15081545";"Wallstawe";"";685;446;8;438;69;233;32;35;10;34;5;0;2;0;0;0;13;1;4;8;438;103;227;44;26;15;7;;;;2;;;14;;;
"Z";"06.09.2026";"19:40:40";8;7;"GEM";"15082005";"Aken (Elbe), Stadt";"U";4233;2540;31;2509;404;1364;180;151;91;106;26;3;24;7;6;16;129;1;1;40;2500;488;1418;225;138;178;53;;;;;;;;;;
"L";;;1;0;"GEM";"15082005";"Aken (Elbe), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
"Z";"06.09.2026";"19:40:40";9;7;"GEM";"15082005";"Aken (Elbe), Stadt";"";4233;2540;31;2509;404;1364;180;151;91;106;26;3;24;7;6;16;129;1;1;40;2500;488;1418;225;138;178;53;;;;;;;;;;
"Z";"06.09.2026";"19:55:07";25;19;"GEM";"15082015";"Bitterfeld-Wolfen, Stadt";"U";21174;11414;137;11277;1595;6319;830;738;241;546;154;5;122;51;29;67;530;11;39;150;11264;1904;6643;1021;712;281;276;427;;;;;;;;;
"Z";"06.09.2026";"19:46:22";6;3;"GEM";"15082015";"Bitterfeld-Wolfen, Stadt";"B";0;3006;13;2993;781;860;300;357;68;254;80;1;43;20;6;19;188;3;13;23;2983;915;916;411;327;93;134;187;;;;;;;;;
"Z";"06.09.2026";"19:55:07";31;22;"GEM";"15082015";"Bitterfeld-Wolfen, Stadt";"";21174;14420;150;14270;2376;7179;1130;1095;309;800;234;6;165;71;35;86;718;14;52;173;14247;2819;7559;1432;1039;374;410;614;;;;;;;;;
"Z";"06.09.2026";"20:12:41";22;18;"GEM";"15082180";"Köthen (Anhalt), Stadt";"U";12942;7170;74;7096;1111;3686;612;477;193;406;60;10;71;36;11;49;341;6;27;86;7084;1640;3666;698;426;209;200;;;;;;;245;;;
"L";;;2;0;"GEM";"15082180";"Köthen (Anhalt), Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"20:12:41";24;18;"GEM";"15082180";"Köthen (Anhalt), Stadt";"";12942;7170;74;7096;1111;3686;612;477;193;406;60;10;71;36;11;49;341;6;27;86;7084;1640;3666;698;426;209;200;;;;;;;245;;;
"Z";"06.09.2026";"19:38:22";13;10;"GEM";"15082241";"Muldestausee";"U";5983;3602;32;3570;540;2000;198;177;124;176;50;5;55;21;3;28;178;8;7;43;3559;753;1989;247;169;151;82;;;;;;;168;;;
"V";"06.09.2026";"19:52:45";3;3;"GEM";"15082241";"Muldestausee";"B";0;2243;18;2225;634;664;201;200;71;225;22;1;32;11;12;12;126;8;6;34;2209;815;657;234;166;82;118;;;;;;;137;;;
"Z";"06.09.2026";"19:52:45";16;13;"GEM";"15082241";"Muldestausee";"";5983;5845;50;5795;1174;2664;399;377;195;401;72;6;87;32;15;40;304;16;13;77;5768;1568;2646;481;335;233;200;;;;;;;305;;;
"Z";"06.09.2026";"19:56:16";18;16;"GEM";"15082256";"Osternienburger Land";"U";5610;3759;60;3699;599;2076;293;175;105;138;33;3;32;13;16;22;174;3;17;73;3686;821;2139;359;158;146;63;;;;;;;;;;
"L";;;1;0;"GEM";"15082256";"Osternienburger Land";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
"Z";"06.09.2026";"19:56:16";19;16;"GEM";"15082256";"Osternienburger Land";"";5610;3759;60;3699;599;2076;293;175;105;138;33;3;32;13;16;22;174;3;17;73;3686;821;2139;359;158;146;63;;;;;;;;;;
"Z";"06.09.2026";"19:47:54";10;9;"GEM";"15082301";"Raguhn-Jeßnitz, Stadt";"U";6026;3890;38;3852;484;2437;189;145;83;163;43;5;50;22;2;26;182;7;14;45;3845;661;2500;244;136;95;74;;;;;;;135;;;
"L";;;1;0;"GEM";"15082301";"Raguhn-Jeßnitz, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"19:47:54";11;9;"GEM";"15082301";"Raguhn-Jeßnitz, Stadt";"";6026;3890;38;3852;484;2437;189;145;83;163;43;5;50;22;2;26;182;7;14;45;3845;661;2500;244;136;95;74;;;;;;;135;;;
"V";"06.09.2026";"20:00:36";14;14;"GEM";"15082340";"Sandersdorf-Brehna, Stadt";"U";11898;6782;77;6705;949;3759;417;408;184;338;128;9;95;23;21;46;299;11;18;84;6698;1154;3877;485;404;197;235;346;;;;;;;;;
"L";;;3;0;"GEM";"15082340";"Sandersdorf-Brehna, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;
"Z";"06.09.2026";"20:00:36";17;14;"GEM";"15082340";"Sandersdorf-Brehna, Stadt";"";11898;6782;77;6705;949;3759;417;408;184;338;128;9;95;23;21;46;299;11;18;84;6698;1154;3877;485;404;197;235;346;;;;;;;;;
"Z";"06.09.2026";"20:06:07";27;26;"GEM";"15082377";"Südliches Anhalt, Stadt";"U";10090;6861;87;6774;1118;3823;498;344;160;271;81;6;68;24;14;35;307;12;13;79;6782;1606;3822;572;268;192;98;;;;;;;224;;;
"L";;;1;0;"GEM";"15082377";"Südliches Anhalt, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"20:06:07";28;26;"GEM";"15082377";"Südliches Anhalt, Stadt";"";10090;6861;87;6774;1118;3823;498;344;160;271;81;6;68;24;14;35;307;12;13;79;6782;1606;3822;572;268;192;98;;;;;;;224;;;
"Z";"06.09.2026";"19:47:30";33;31;"GEM";"15082430";"Zerbst/Anhalt, Stadt";"U";13974;8482;94;8388;1340;4462;547;624;190;415;136;7;82;38;21;37;440;12;37;147;8335;1906;4597;646;703;270;213;;;;;;;;;;
"Z";"06.09.2026";"19:43:35";3;1;"GEM";"15082430";"Zerbst/Anhalt, Stadt";"B";0;913;5;908;268;225;99;111;27;63;18;1;17;8;1;4;60;4;2;14;899;366;228;124;101;44;36;;;;;;;;;;
"Z";"06.09.2026";"19:47:30";36;32;"GEM";"15082430";"Zerbst/Anhalt, Stadt";"";13974;9395;99;9296;1608;4687;646;735;217;478;154;8;99;46;22;41;500;16;39;161;9234;2272;4825;770;804;314;249;;;;;;;;;;
"Z";"06.09.2026";"19:50:29";12;10;"GEM";"15082440";"Zörbig, Stadt";"U";5662;3502;49;3453;560;1942;181;201;76;157;87;5;29;15;6;19;162;8;5;51;3451;688;1996;202;202;64;74;225;;;;;;;;;
"L";;;1;0;"GEM";"15082440";"Zörbig, Stadt";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;
"Z";"06.09.2026";"19:50:29";13;10;"GEM";"15082440";"Zörbig, Stadt";"";5662;3502;49;3453;560;1942;181;201;76;157;87;5;29;15;6;19;162;8;5;51;3451;688;1996;202;202;64;74;225;;;;;;;;;
"V";"06.09.2026";"19:15:37";3;3;"GEM";"15083020";"Altenhausen";"U";847;566;5;561;98;275;43;49;10;30;5;3;4;6;3;3;31;0;1;8;558;152;266;47;41;14;11;;;;;;;27;;;
"V";"06.09.2026";"19:31:41";1;1;"GEM";"15083020";"Altenhausen";"B";0;129;0;129;24;39;17;20;3;10;0;0;4;2;1;1;8;0;0;0;129;44;38;13;18;2;5;;;;;;;9;;;
"V";"06.09.2026";"19:31:41";4;4;"GEM";"15083020";"Altenhausen";"";847;695;5;690;122;314;60;69;13;40;5;3;8;8;4;4;39;0;1;8;687;196;304;60;59;16;16;;;;;;;36;;;
"V";"06.09.2026";"19:18:13";4;4;"GEM";"15083025";"Am Großen Bruch";"U";1646;1097;10;1087;200;640;52;61;27;27;14;1;7;9;2;2;45;0;0;13;1084;248;644;71;41;27;15;;;;;;;38;;;
"V";"06.09.2026";"19:37:05";1;1;"GEM";"15083025";"Am Großen Bruch";"B";0;252;3;249;61;72;21;41;11;11;5;0;4;2;0;2;18;1;0;5;247;93;66;27;27;6;6;;;;;;;22;;;
"V";"06.09.2026";"19:37:05";5;5;"GEM";"15083025";"Am Großen Bruch";"";1646;1349;13;1336;261;712;73;102;38;38;19;1;11;11;2;4;63;1;0;18;1331;341;710;98;68;33;21;;;;;;;60;;;
"V";"06.09.2026";"20:27:52";4;4;"GEM";"15083030";"Angern";"U";1572;1051;14;1037;173;517;86;69;17;72;15;1;6;5;1;2;71;0;2;12;1039;256;507;95;54;16;22;;;;;;;77;;;12
"L";;;1;0;"GEM";"15083030";"Angern";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0
"Z";"06.09.2026";"20:27:52";5;4;"GEM";"15083030";"Angern";"";1572;1051;14;1037;173;517;86;69;17;72;15;1;6;5;1;2;71;0;2;12;1039;256;507;95;54;16;22;;;;;;;77;;;12
"V";"06.09.2026";"19:10:19";2;2;"GEM";"15083035";"Ausleben";"U";1327;836;4;832;99;523;46;46;22;19;25;0;10;15;2;4;20;0;1;12;824;133;530;56;36;25;15;;;;;;;29;;;
"L";;;1;0;"GEM";"15083035";"Ausleben";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"19:10:19";3;2;"GEM";"15083035";"Ausleben";"";1327;836;4;832;99;523;46;46;22;19;25;0;10;15;2;4;20;0;1;12;824;133;530;56;36;25;15;;;;;;;29;;;
"Z";"06.09.2026";"19:54:01";5;3;"GEM";"15083040";"Barleben";"U";4383;2483;27;2456;376;1285;142;165;69;189;34;2;29;9;5;10;124;5;12;23;2460;614;1279;165;129;74;52;;;;;;;105;;;42
"Z";"06.09.2026";"20:18:45";3;2;"GEM";"15083040";"Barleben";"B";0;1563;5;1558;415;381;133;212;64;181;19;0;23;9;4;15;97;0;5;6;1557;665;353;151;144;65;64;;;;;;;87;;;28
"Z";"06.09.2026";"20:18:45";8;5;"GEM";"15083040";"Barleben";"";4383;4046;32;4014;791;1666;275;377;133;370;53;2;52;18;9;25;221;5;17;29;4017;1279;1632;316;273;139;116;;;;;;;192;;;70
"V";"06.09.2026";"19:29:20";1;1;"GEM";"15083060";"Beendorf";"U";675;424;5;419;72;223;23;29;9;16;8;1;2;1;3;2;29;0;1;4;420;125;214;26;16;9;9;;;;;;;21;;;
"V";"06.09.2026";"20:12:09";1;1;"GEM";"15083060";"Beendorf";"B";0;99;1;98;24;35;8;12;1;7;1;0;0;0;0;3;7;0;0;1;98;34;35;7;9;1;3;;;;;;;9;;;
"V";"06.09.2026";"20:12:09";2;2;"GEM";"15083060";"Beendorf";"";675;523;6;517;96;258;31;41;10;23;9;1;2;1;3;5;36;0;1;5;518;159;249;33;25;10;12;;;;;;;30;;;
"V";"06.09.2026";"19:11:36";2;2;"GEM";"15083115";"Bülstringen";"U";700;512;7;505;106;254;26;45;14;14;10;1;2;1;2;4;25;1;0;7;505;181;241;15;28;13;5;;;;;;;22;;;
"V";"06.09.2026";"18:51:33";1;1;"GEM";"15083115";"Bülstringen";"B";0;88;0;88;21;22;6;16;6;6;1;0;4;0;0;2;4;0;0;0;88;46;20;3;4;5;3;;;;;;;7;;;
"V";"06.09.2026";"19:11:36";3;3;"GEM";"15083115";"Bülstringen";"";700;600;7;593;127;276;32;61;20;20;11;1;6;1;2;6;29;1;0;7;593;227;261;18;32;18;8;;;;;;;29;;;
"V";"06.09.2026";"20:16:23";4;4;"GEM";"15083120";"Burgstall";"U";1201;832;15;817;119;465;49;57;19;36;4;1;4;5;2;1;50;1;4;16;816;154;470;68;40;16;14;;;;;;;48;;;6
"L";;;1;0;"GEM";"15083120";"Burgstall";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0
"Z";"06.09.2026";"20:16:23";5;4;"GEM";"15083120";"Burgstall";"";1201;832;15;817;119;465;49;57;19;36;4;1;4;5;2;1;50;1;4;16;816;154;470;68;40;16;14;;;;;;;48;;;6
"V";"06.09.2026";"19:52:28";8;8;"GEM";"15083125";"Calvörde";"U";2731;1721;19;1702;300;862;136;122;33;77;19;2;22;9;10;6;94;3;7;25;1696;508;832;121;106;26;25;;;;;;;78;;;
"L";;;1;0;"GEM";"15083125";"Calvörde";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;
"Z";"06.09.2026";"19:52:28";9;8;"GEM";"15083125";"Calvörde";"";2731;1721;19;1702;300;862;136;122;33;77;19;2;22;9;10;6;94;3;7;25;1696;508;832;121;106;26;25;;;;;;;78;;;
"Z";"06.09.2026";"20:24:21";3;2;"GEM";"15083130";"Colbitz";"U";1695;1018;3;1015;133;557;82;74;17;64;7;0;7;4;3;4;56;2;5;5;1013;189;559;107;56;26;22;;;;;;;42;;;12
"L";;;1;0;"GEM";"15083130";"Colbitz";"B";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;;0
"Z";"06.09.2026";"20:24:21";4;2;"GEM";"15083130";"Colbitz";"";1695;1018;3;1015;133;557;82;74;17;64;7;0;7;4;3;4;56;2;5;5;1013;189;559;107;56;26;22;;;;;;;42;;;12
"V";"06.09.2026";"19:49:23";5;5;"GEM";"15083190";"Eilsleben";"U";2966;1747;25;1722;291;831;129;157;36;82;15;1;21;12;7;10;125;3;2;22;1725;447;835;123;127;51;36;;;;;;;106;;;
"V";"06.09.2026";"19:33:44";1;1;"GEM";"15083190";"Eilsleben";"B";0;590;2;588;157;147;61;77;18;55;10;0;7;1;0;2;51;1;1;2;588;229;135;53;66;15;30;;;;;;;60;;;
"V";"06.09.2026";"19:49:23";6;6;"GEM";"15083190";"Eilsleben";"";2966;2337;27;2310;448;978;190;234;54;137;25;1;28;13;7;12;176;4;3;24;2313;676;970;176;193;66;66;;;;;;;166;;;
"Z";"06.09.2026";"19:37:40";5;4;"GEM";"15083205";"Erxleben";"U";1303;874;15;859;125;439;71;70;18;52;9;2;16;4;1;5;46;0;1;20;854;222;440;67;49;17;19;;;;;;;40;;;
"V";"06.09.2026";"20:10:16";1;1;"GEM";"15083205";"Erxleben";"B";0;341;0;341;95;86;40;39;5;29;4;0;4;1;2;3;32;1;0;0;341;143;87;34;30;11;7;;;;;;;29;;;
"Z";"06.09.2026";"20:10:16";6;5;"GEM";"15083205";"Erxleben";"";1303;1215;15;1200;220;525;111;109;23;81;13;2;20;5;3;8;78;1;1;20;1195;365;527;101;79;28;26;;;;;;;69;;;
